artist_name,birthday,country,startyear
Gorillaz,NA,Foreign,1998
Unknown Mortal Orchestra,NA,Foreign,2010
Real Estate,NA,NA,NA
Jessie Ware,10/15/1984,NA,2009
Thundercat,10/19/1984,NA,2000
Young Fathers,NA,Foreign,2008
Perfume Genius,9/25/1981,NA,2008
Sampha,11/16/1988,NA,2009
Dirty Projectors,NA,United States,2002
Mac DeMarco,4/30/1990,Foreign,2008
The Big Moon,NA,Foreign,2014
Wolf Alice,NA,Foreign,2010
Phosphorescent,7/27/1978,United States,2001
Lykke Li,3/18/1986,NA,2007
Crystal Castles,NA,Foreign,2006
The 1975,NA,Foreign,2002
Jagwar Ma,NA,United States,2011
John Grant,7/25/1968,United States,NA
The Maccabees,NA,NA,NA
Warpaint,NA,United States,2004
Låpsley,NA,NA,NA
This Is The Kit,NA,Foreign,2003
Django Django,NA,Foreign,2009
Shame,NA,NA,NA
Villagers,NA,Foreign,2008
Car Seat Headrest,NA,United States,2010
Sharon Van Etten,2/26/1981,United States,2007
Royal Blood,NA,Foreign,2011
Weyes Blood,6/11/1988,NA,2003
Pinegrove,NA,United States,2010
Mitski,9/27/1990,United States,2012
Thee Oh Sees,NA,United States,1997
Palma Violets,NA,Foreign,2011
Ariel Pink,6/24/1978,NA,1996
Wild Beasts,NA,Foreign,2002
Jake Bugg,2/28/1994,NA,2011
Parquet Courts,NA,United States,2010
Savages,NA,NA,NA
Eno • Hyde,NA,NA,NA
Tune-Yards,NA,United States,2006
Arca,10/14/1989,NA,2011
Todd Terje,NA,NA,1999
Austra,NA,Foreign,2009
FKA twigs,1/17/1988,NA,2004
Twin Shadow,3/30/1983,United States,2000
Sundara Karma,NA,Foreign,2011
Julia Holter,12/18/1984,United States,2006
Lucy Dacus,5/2/1995,NA,2015
Cate le Bon,3/4/1983,NA,2007
Purity Ring,NA,Foreign,2010
The Magic Gang,NA,United States,1964
Gruff Rhys,7/18/1970,Foreign,1988
D.D Dumbo,NA,United States,2013
Joan As Police Woman,7/26/1970,United States,1991
White Denim,NA,United States,2006
Hookworms,NA,NA,NA
Shocking Blue,NA,Foreign,1967
Castaways,NA,NA,NA
France Gall,10/9/1947,NA,1963
Arthur Brown,6/24/1942,NA,1965
The Creation,NA,Foreign,1966
Dick Dale and his Del-Tones,5/4/1937,NA,1955
Jacques Dutronc,4/28/1943,NA,1961
The Seeds,NA,United States,1965
The Standells,NA,United States,1962
Strawberry Alarm Clock,NA,United States,1967
The Easybeats,NA,United States,1964
The Blues Magoos,NA,United States,1964
Wanda Jackson,10/20/1937,NA,1955
The Strangeloves,NA,United States,1964
Positively 13 O'Clock,NA,NA,NA
The Third Bardo,NA,United States,1967
Blind Faith,NA,Foreign,1969
Status Quo,NA,Foreign,1962
Captain Beefheart & His Magic Band,1/15/1941,NA,1964
Nico,10/16/1938,NA,1954
Townes Van Zandt,3/7/1944,NA,1965
The Tornados,NA,Foreign,1961
The Trashmen,NA,United States,1962
John Leyton,2/17/1936,NA,NA
Donovan,5/10/1946,NA,1964
The West Coast Pop Art Experimental Band,NA,United States,1965
The Knickerbockers,NA,United States,1962
The Tammys,NA,NA,1962
Pentangle,NA,Foreign,1967
Silver Apples,NA,United States,1967
The Pretty Things,NA,Foreign,1963
Os Mutantes,NA,Foreign,1966
Twinkle,NA,NA,NA
Brigitte Bardot,9/28/1934,NA,NA
Frank Zappa,12/21/1940,United States,1955
We Hunt Buffalo,NA,United States,1971
The Bonzo Dog Band,NA,Foreign,1962
The Incredible String Band,NA,Foreign,1966
The Shaggs,NA,United States,1968
Buzzcocks,NA,Foreign,1976
Siouxsie and the Banshees,NA,Foreign,1976
The Only Ones,NA,Foreign,1976
The Stranglers,NA,Foreign,1974
Kraftwerk,NA,Foreign,1969
The Undertones,NA,Foreign,1974
Plastic Bertrand,2/24/1954,United States,1977
Roxy Music,NA,Foreign,1970
Sparks,NA,United States,1967
Gary Numan,3/8/1958,NA,1975
Squeeze,NA,Foreign,1974
The B-52's,NA,United States,1976
Lene Lovich,3/30/1949,Foreign,1975
Steve Harley,2/27/1951,NA,1972
The Jam,NA,Foreign,1972
X-Ray Spex,NA,Foreign,1976
Bryan Ferry,9/26/1945,NA,1967
Skids,NA,Foreign,1977
Jilted John,5/22/1959,NA,NA
Joe Jackson,8/11/1954,NA,1970
The Damned,NA,Foreign,1976
Ian Dury,5/12/1942,NA,1970
Stiff Little Fingers,NA,Foreign,1977
Hawkwind,NA,Foreign,1969
The Runaways,NA,United States,1975
New York Dolls,NA,United States,1971
The Rezillos,NA,Foreign,NA
Penetration,NA,NA,NA
The Slits,NA,Foreign,1976
Delta 5,NA,Foreign,1979
The Members,NA,Foreign,1976
Jags,NA,NA,NA
Tom Robinson Band,NA,Foreign,1976
The Cramps,NA,United States,1976
Television,NA,NA,NA
The Fall,NA,NA,NA
The Adverts,NA,Foreign,1976
Magazine,NA,NA,NA
Suicide,NA,NA,NA
Patti Smith,12/30/1946,United States,1967
Sid Vicious,5/10/1957,NA,1976
Richard Hell,10/2/1949,NA,1972
Nick Lowe,3/24/1949,NA,1966
John Cooper Clarke,1/25/1949,NA,NA
Wire,NA,NA,NA
The Saints,NA,United States,1973
Elvis Costello,8/25/1954,NA,1970
Johnny Thunders & The Heartbreakers,7/15/1952,NA,1967
The Modern Lovers,NA,United States,1970
Brian Eno,5/15/1948,NA,1970
The Normal,NA,NA,1978
The Raincoats,NA,Foreign,1977
999,NA,NA,NA
CAN,NA,Foreign,1968
Ultravox,NA,Foreign,1974
Bronski Beat,NA,Foreign,1983
Talk Talk,NA,Foreign,1981
Martha and the Muffins,NA,Foreign,1977
Public Image Ltd.,NA,Foreign,1978
Yazoo,NA,Foreign,1981
The Specials,NA,Foreign,1977
The Stone Roses,NA,Foreign,1983
The Housemartins,NA,Foreign,1983
Morrissey,5/22/1959,NA,1977
The Primitives,NA,Foreign,1984
Fun Boy Three,NA,NA,1981
Visage,NA,NA,NA
Young Marble Giants,NA,Foreign,1978
The Psychedelic Furs,NA,Foreign,1977
The Beat,NA,Foreign,1978
Jona Lewie,3/14/1947,NA,1967
Julian Cope,10/21/1957,NA,1978
The Jesus and Mary Chain,NA,Foreign,1983
Orchestral Manoeuvres In The Dark,NA,Foreign,1978
XTC,NA,Foreign,1972
The Style Council,NA,Foreign,1983
Josef K,NA,Foreign,1979
The The,NA,Foreign,1979
Modern English,NA,NA,NA
The Sugarcubes,NA,Foreign,1986
Orange Juice,NA,NA,NA
Generation X,NA,NA,NA
The Teardrop Explodes,NA,Foreign,1978
Neneh Cherry,3/10/1964,NA,1980
The Feelies,NA,United States,1976
Furniture,NA,NA,NA
Elvis Costello & The Attractions,NA,NA,NA
Blancmange,NA,Foreign,1979
Propaganda,NA,NA,NA
My Bloody Valentine,NA,Foreign,1983
The Passions,NA,United States,1978
Cocteau Twins,NA,Foreign,1979
Japan,NA,NA,NA
Tom Tom Club,NA,United States,1981
George Clinton,7/22/1941,NA,1955
The Associates,NA,Foreign,1979
Aztec Camera,NA,Foreign,1980
The Selecter,NA,Foreign,1979
ESG,NA,NA,NA
This Mortal Coil,NA,Foreign,1983
Thomas Dolby,10/14/1958,NA,1979
808 State,NA,Foreign,1987
Happy Mondays,NA,Foreign,1980
Gang Of Four,NA,Foreign,1976
Pete Shelley,4/17/1955,Foreign,1976
Nick Cave & The Bad Seeds,9/22/1957,NA,1973
Altered Images,NA,Foreign,1979
Galaxie 500,NA,United States,1987
Cornershop,NA,Foreign,1991
Pulp,NA,Foreign,1978
Primal Scream,NA,Foreign,1982
Massive Attack,NA,Foreign,1988
Underworld,NA,NA,NA
Sneaker Pimps,NA,Foreign,1994
The La's,NA,Foreign,1983
The Sundays,NA,Foreign,1988
Ian Brown,2/20/1963,NA,1980
The Chemical Brothers,NA,Foreign,1989
They Might Be Giants,NA,United States,1982
Len,NA,Foreign,1991
Broadcast,NA,Foreign,1995
The Beta Band,NA,Foreign,1996
Suede,NA,Foreign,1989
Yo La Tengo,NA,United States,1984
Belle & Sebastian,NA,NA,NA
Manic Street Preachers,NA,Foreign,1986
Electronic,NA,NA,NA
The Beloved,NA,Foreign,1983
Saint Etienne,NA,Foreign,1990
Grandaddy,NA,United States,1992
McAlmont & Butler,5/2/1967,NA,NA
Elastica,NA,Foreign,1992
The Charlatans,NA,Foreign,1988
L7,NA,United States,1985
Portishead,NA,Foreign,1991
Daniel Johnston,1/22/1961,United States,1978
Sleater-Kinney,NA,United States,1994
Guided By Voices,NA,United States,1983
Wilco,NA,United States,1994
White Town,NA,Foreign,1989
Air,NA,NA,NA
Ride,NA,Foreign,1988
Black Grape,NA,Foreign,1993
Teenage Fanclub,NA,Foreign,1989
Mercury Rev,NA,United States,1989
Pavement,NA,United States,1989
The Wannadies,NA,Foreign,1988
Eels,NA,NA,NA
The Auteurs,NA,Foreign,1991
Stereolab,NA,Foreign,1990
Throwing Muses,NA,United States,1981
Gorky's Zygotic Mynci,NA,Foreign,1991
The Magnetic Fields,NA,United States,1989
Tindersticks,NA,Foreign,1992
Black Box Recorder,NA,Foreign,1998
Arab Strap,NA,Foreign,1995
"Tyler, The Creator",3/6/1991,NA,2007
SLANG,NA,NA,NA
Jay Prince,10/31/1965,NA,1986
JyellowL,NA,NA,NA
HASEEB,NA,NA,NA
slowthai,12/18/1994,NA,2015
Coops,NA,NA,NA
Phabo,NA,United States,2003
Dotty,NA,NA,NA
Sliim Bambino,NA,NA,NA
Kojey Radical,1/4/1993,Foreign,NA
Ocean Wisdom,5/17/1993,Foreign,2014
MJ Cole,8/9/1973,Foreign,1997
MORTEN,NA,NA,NA
A.M. SNiPER,NA,NA,NA
Grandmilly,NA,United States,2008
Falease,NA,NA,NA
Jevon,NA,NA,NA
Jafaris,2/19/1995,Foreign,2016
CR BLACKS,NA,NA,NA
Benny Mails,2/17/1992,Foreign,2012
Darrell Cole,7/20/1920,NA,1941
Kamakaze,NA,NA,NA
Jesse James Solomon,NA,NA,NA
Artan,NA,NA,NA
Dabbla,NA,NA,NA
Rejjie Snow,6/27/1993,NA,2012
B Mus,NA,NA,NA
Aaron Unknown,10/17/1993,NA,2002
Ransom Fa,NA,NA,NA
IYKZ,8/11/1987,NA,2007
Al the Native,NA,NA,NA
Fliptrix,NA,Foreign,2011
Kojaque,NA,Foreign,2015
J. Lewis,2/21/1940,NA,NA
Pan Amsterdam,4/8/1979,United States,2000
Joel Baker,NA,NA,NA
Rival,NA,NA,NA
Nick Brewer,NA,NA,2010
Tom Misch,6/25/1995,NA,2012
Kei-B,NA,NA,NA
The Last Skeptik,5/8/1985,NA,2004
Koder,NA,NA,NA
2u4u,NA,NA,NA
Daniel OG,NA,NA,NA
Context,NA,NA,NA
Ill Camille,NA,United States,2006
Awate,NA,NA,1935
Trippie Redd,6/18/1999,NA,2014
88rising,NA,NA,NA
Verzache,NA,Foreign,2014
BROCKHAMPTON,NA,United States,2010
Aries,NA,NA,NA
Mac Miller,1/19/1992,NA,2007
Felly,9/2/1995,NA,2013
6 Dogs,5/5/1999,NA,2016
Leikeli47,NA,NA,2010
The O'My's,NA,NA,2007
Riz La Vie,NA,NA,NA
Mick Jenkins,4/16/1991,United States,NA
Jack Harlow,3/13/1998,NA,2011
Noname,9/18/1991,NA,2010
Rich Brian,9/3/1999,NA,2015
Joji,9/18/1992,Foreign,NA
Oliver Tree,6/29/1993,NA,2011
Masego,6/8/1993,United States,2013
Doja Cat,10/21/1995,NA,2012
Magroove,NA,NA,NA
Mahalia,5/1/1998,Foreign,2015
EARTHGANG,NA,United States,2008
Juice WRLD,12/2/1998,NA,2015
Jakob Ogawa,NA,NA,NA
Ryan Hemsworth,4/23/1990,Foreign,2010
DRAM,NA,NA,NA
Denzel Curry,2/16/1995,NA,2009
KAMI,NA,NA,NA
ROLE MODEL,NA,NA,NA
KYLE,5/18/1993,United States,2009
Bryce Vine,6/16/1988,NA,2011
Ski Mask The Slump God,4/18/1996,NA,2014
Summer Walker,4/11/1996,NA,2018
Teyana Taylor,12/10/1990,NA,2005
MihTy,NA,NA,NA
Anderson .Paak,2/8/1986,NA,2009
Trey Songz,11/28/1984,NA,2003
Queen Naija,10/17/1995,NA,2014
The Internet,NA,NA,NA
The Carters,NA,NA,2014
Next Town Down,NA,NA,NA
Chloe x Halle,7/1/1998,United States,2003
Janelle Monáe,12/1/1985,NA,2003
Mary J. Blige,1/11/1971,NA,1991
TK Kravitz,5/26/1964,NA,1981
Amber Mark,12/29/1993,NA,2016
Nick Mulvey,11/4/1984,NA,2007
Dawn Landes,12/5/1980,United States,NA
José González,7/31/1978,Foreign,2003
The Dead Tongues,NA,NA,2008
Isbells,2/1/1979,NA,1995
Darlingside,NA,Foreign,2009
Beta Radio,NA,Foreign,2001
Dead Horses,NA,NA,NA
Joshua James,NA,United States,2003
Mipso,NA,United States,2013
Stu Larsen,NA,NA,NA
The Ballroom Thieves,NA,Foreign,2009
Caamp,NA,United States,NA
Mandolin Orange,NA,United States,2009
Magnolian,NA,NA,NA
Tall Heights,NA,Foreign,2009
Blanco White,7/21/1991,Foreign,2014
Roo Panes,6/8/1988,NA,2012
The Barr Brothers,NA,Foreign,2006
Blessed Feathers,NA,NA,NA
Molly Tuttle,1/14/1993,NA,2006
J. Tillman,5/3/1981,NA,2001
John Paul White,8/4/1972,United States,2008
Henry Jamison,NA,NA,NA
The Daydream Club,NA,Foreign,2010
Elisapie,NA,NA,1989
Sufjan Stevens,7/1/1975,NA,1995
The Woodlands,NA,NA,NA
Alela Diane,4/20/1983,NA,2003
Rachel Baiman,NA,United States,NA
The Brother Brothers,NA,NA,2015
Lillie Mae,NA,NA,2013
Tom Young,NA,NA,NA
Wild Child,NA,NA,NA
Basia Bulat,4/13/1984,Foreign,2004
Hiss Golden Messenger,NA,United States,2007
Plàsi,NA,NA,NA
ViVii,NA,NA,NA
Jeremy Zucker,3/3/1996,NA,2015
bülow,8/11/1926,NA,NA
Paul Rey,5/23/1992,NA,NA
The Neighbourhood,NA,United States,2011
Matthew Perryman Jones,12/25/1973,Foreign,1997
JP Saxe,3/23/1993,Foreign,2017
Freya Ridings,4/19/1994,NA,2016
Johnny Gates,NA,NA,NA
Lord Huron,NA,Foreign,2010
Skogebrandt,NA,NA,2004
Good Old War,NA,United States,2008
TRACE,NA,NA,NA
Jaymes Young,9/1/1991,NA,2013
The Banner Days,NA,NA,NA
Rhys Lewis,NA,NA,NA
Max Jury,5/12/1992,United States,NA
Hildur,9/4/1982,NA,NA
Vancouver Sleep Clinic,NA,United States,2013
Tep No,NA,NA,NA
Milk & Bone,NA,NA,NA
Mansionair,NA,United States,2014
Alice Boman,NA,Foreign,2013
Field Division,NA,NA,NA
Anna Of The North,NA,Foreign,2014
I Am Oak,NA,Foreign,NA
Silver Lining,NA,NA,NA
Isak Danielson,8/27/1997,NA,2012
Jamie Harrison,2/5/1976,NA,NA
Matt Corby,11/7/1990,NA,2007
Jarryd James,NA,NA,2012
Jake Coco,NA,NA,NA
Banks,NA,NA,NA
Maldito,NA,NA,NA
Foreign Fields,NA,NA,NA
SOHN,NA,NA,2012
Skott,NA,NA,NA
Jack Garratt,10/11/1991,NA,2005
flora cash,NA,Foreign,2012
Hamilton,NA,NA,NA
The Head and the Heart,NA,United States,2009
The Tallest Man On Earth,4/30/1983,NA,2005
Daughter,NA,Foreign,2010
Michael Kiwanuka,5/3/1987,United States,NA
GRANT,1822-04-27,NA,1839
Hana Oceans,NA,NA,NA
Frances,NA,NA,NA
RHODES,NA,NA,NA
Sweetfire,NA,NA,NA
Luke Thompson,7/4/1988,NA,2013
LÉON,NA,NA,NA
Audrey Assad,7/1/1983,United States,2002
Ruth B.,7/2/1995,NA,2013
Natali Felicia,NA,NA,NA
Chris Call,NA,United States,2009
Emily Warren,8/25/1992,NA,2015
Lisa Bregneager,NA,NA,NA
ODESZA,NA,United States,2012
Luis Vargas,5/23/1961,NA,1980
Raulin Rodriguez,6/16/1971,NA,1993
Monchy & Alexandra,NA,NA,NA
Romeo Santos,7/21/1981,NA,1994
Los Toros Band,5/23/1967,NA,1980
Alex Bueno,9/6/1963,NA,NA
Frank Reyes,6/4/1969,Foreign,1991
Joe Veras,NA,NA,NA
Anthony Santos,5/5/1967,NA,1990
Yoskar Sarante,1/2/1970,NA,1994
Zacarias Ferreira,10/10/1968,NA,1997
Luis Miguel Del Amargue,NA,NA,NA
Kiko Rodriguez,6/16/1971,NA,1993
Elvis Martinez,NA,NA,1998
Teodoro Reyes,6/4/1969,Foreign,1991
Joan Soriano,2/23/1972,NA,1982
Luis Segura,NA,NA,NA
Bienvenido Rodríguez,NA,NA,NA
Yellow Claw,NA,Foreign,2010
Skrillex,1/15/1988,NA,2004
Andy Mineo,4/17/1988,NA,2001
JAY Z,12/4/1969,NA,1988
NF,3/30/1991,NA,2010
Rich The Kid,7/13/1992,United States,2010
Hardwell,1/7/1988,NA,2002
Gary Clark Jr.,2/15/1984,NA,1996
Lil Jon & The East Side Boyz,NA,NA,NA
Dj Seven,3/31/1987,NA,2010
R3HAB,4/2/1986,Foreign,2008
Offset,12/14/1991,NA,2008
Sunrlse,NA,NA,NA
Gizzle,NA,NA,2007
Dodge & Fuski,NA,NA,NA
THE AZN SEN$ATION,NA,NA,NA
Airliftz,NA,NA,NA
Kris Wu,NA,Foreign,2012
Wyane Hausley,6/2/1972,NA,1990
Xuede,NA,NA,NA
Keith Ape,12/25/1993,NA,2011
Bohan Phoenix,NA,Foreign,2016
Axel Brizzy,7/2/1946,NA,NA
$ain't,NA,NA,NA
Shahrizal,NA,NA,NA
FLANNEL ALBERT,2/12/1990,NA,2012
LATE LEE,3/23/1972,NA,1993
Richard Jansen,3/27/1931,NA,1945
ØZI,NA,NA,NA
XXXTENTACION,1/23/1998,NA,NA
Blackback,NA,NA,NA
Asch,NA,NA,NA
Ramengvrl,NA,NA,NA
Jid Durano,NA,NA,NA
Christian Kuya,11/28/1993,NA,NA
Junior Chef,NA,NA,NA
Madt Cult,NA,United States,2010
AndyHas,NA,NA,NA
A.ARI,NA,NA,NA
Jerzoned,NA,NA,NA
BOYINSPACE,NA,Foreign,2012
pH-1,7/23/1989,NA,2016
BAP.,NA,Foreign,2012
Marcus Prolifik,NA,United States,2006
Zamaera,NA,NA,NA
Ghostface Killah,5/9/1970,United States,1991
Innanet James,NA,Foreign,2015
Bas,5/27/1987,United States,2010
ALPHAMAMA,NA,NA,NA
King Mez,4/19/1990,United States,2010
Catching Flies,NA,Foreign,2012
Kaiit,NA,United States,NA
Dave East,6/3/1988,NA,2009
POETIK,NA,NA,NA
Little Simz,2/23/1994,NA,2010
Eno x Dirty,NA,NA,NA
Avantdale Bowling Club,NA,NA,NA
Genesis Owusu,4/17/1998,NA,NA
Home Brew,NA,NA,NA
REASON,NA,NA,NA
Bobby Sessions,NA,NA,NA
SOB X RBE,NA,United States,2016
boy pablo,NA,Foreign,2015
Vansire,NA,Foreign,2015
The Marías,NA,NA,NA
Triathalon,NA,NA,NA
Alex Siegel,7/1/1915,NA,1949
FLOOR CRY,NA,Foreign,2015
Pizzagirl,NA,NA,NA
Will Davila,4/25/1931,NA,NA
Men I Trust,NA,Foreign,2014
MUNYA,NA,NA,NA
Peachy!,NA,NA,NA
Clairo,8/18/1998,United States,2012
Hala,NA,NA,NA
Black Pool,NA,NA,NA
Matt DiMona,NA,NA,NA
Cavetown,12/15/1998,Foreign,2012
Ambar Lucid,NA,United States,2017
Toast,NA,NA,NA
Sports,NA,NA,NA
Spencer.,NA,NA,NA
Still Woozy,NA,Foreign,2017
SALES,NA,NA,NA
Frankie Cosmos,3/21/1994,NA,2011
TheSecondSex,NA,NA,NA
wwoman,NA,NA,NA
HOMESHAKE,NA,Foreign,2012
Billy Lemos,NA,NA,NA
BOYO,NA,NA,NA
Yuno,NA,NA,NA
Good Morning,NA,NA,NA
Temporex,NA,United States,2004
Sobs,NA,NA,NA
Ralph Castelli,NA,Foreign,1975
Johnny Utah,NA,NA,NA
Morabeza Tobacco,NA,NA,NA
Yellow Days,NA,NA,NA
Hana Vu,NA,Foreign,NA
Yung Heazy,NA,NA,NA
Madson Project.,NA,NA,NA
girl in red,2/16/1999,NA,2017
Gus Dapperton,3/11/1997,NA,2015
Sebastian Roca,NA,NA,NA
Boys Age,NA,NA,NA
Roy Blair,NA,NA,NA
Mellow Fellow,NA,NA,2015
Steve Lacy,5/23/1998,NA,2013
Monsune,NA,NA,NA
slenderbodies,NA,Foreign,2010
Soft Glas,NA,NA,NA
Ritt Momney,10/12/1999,NA,NA
MorMor,NA,Foreign,NA
Meek Mill,5/6/1987,NA,2003
Moneybagg Yo,9/22/1991,NA,2012
21 Savage,10/22/1992,United States,2013
Metro Boomin,9/16/1993,NA,2009
2 Chainz,9/12/1977,NA,1997
Slim Thug,9/8/1980,NA,1998
Nipsey Hussle,8/15/1985,NA,2005
Trouble,NA,NA,NA
GASHI,10/4/1989,United States,2014
Rick Ross,1/28/1976,United States,2000
UGK,NA,Foreign,1987
Playboi Carti,9/13/1996,NA,2010
Young Money,NA,NA,NA
Big Sean,3/25/1988,United States,2007
B.o.B,11/15/1988,United States,2006
Do Or Die,NA,United States,1995
Yo Gotti,5/19/1981,NA,1996
Killa Kyleon,NA,United States,2001
L.A. Leakers,NA,NA,NA
Rich Homie Quan,10/4/1989,NA,2011
MadeinTYO,4/12/1992,United States,2015
YFN Lucci,2/16/1991,NA,2014
J. Cole,1/28/1985,United States,2007
A$AP Ferg,10/20/1988,NA,2007
Kevin Gates,2/5/1986,United States,2007
Migos,NA,United States,2008
Famous Dex,9/6/1993,NA,2012
Jeezy,9/28/1977,United States,1997
Cdot Honcho,NA,NA,NA
Andra Day,12/30/1984,United States,2012
Sounds Of Blackness,NA,United States,1969
"Martin Luther King, Jr.",1/15/1929,NA,NA
Esperanza Spalding,10/18/1984,NA,2000
James Brown,5/3/1933,NA,1953
Oprah Winfrey,1/29/1954,NA,1973
Solange,6/24/1986,NA,2001
Barack Obama,8/4/1961,NA,NA
D'Angelo,2/11/1974,NA,1991
Gregory Porter,11/4/1971,NA,1998
Mos Def,12/11/1973,NA,1994
Dick Gregory,10/12/1932,NA,1954
Sonia Sanchez,9/9/1934,NA,NA
Raheem DeVaughn,5/5/1975,Foreign,2002
Jill Scott,4/4/1972,NA,1999
Bilal,8/23/1979,United States,1999
Langston Hughes,2/1/1901,NA,NA
Billie Holiday,4/7/1915,NA,NA
Duke Ellington,1899-04-29,NA,1914
Shirley Chisholm,11/30/1924,NA,NA
Angie Stone,12/18/1961,NA,1979
B.M.U. (Black Men United),NA,NA,NA
Wanda Sykes,3/7/1964,NA,1987
Yolanda Adams,8/27/1961,NA,1982
"Isley, Jasper, Isley",NA,United States,1984
Oscar D'León,7/11/1943,Foreign,NA
Toño Rosario,11/3/1955,NA,1978
La Banda Gorda,NA,Foreign,1994
El Chaval,NA,NA,NA
"Héctor Acosta ""El Torito""",NA,NA,NA
Los Hermanos Rosario,NA,Foreign,1978
Fulanito,NA,United States,1996
Frankie Ruiz,3/10/1958,NA,1971
Oro Solido,NA,Foreign,1994
Tito Swing,NA,NA,NA
Omega,NA,NA,NA
Willie Colón,4/28/1950,United States,1967
Geovanny Polanco,NA,NA,NA
El Gran Combo De Puerto Rico,NA,Foreign,1962
Andy Andy,NA,Foreign,NA
Eddy Herrera,4/30/1964,Foreign,1984
Fefita La Grande,9/18/1943,NA,NA
Olga Tanon,4/13/1967,Foreign,1987
Raquel Arias,NA,NA,NA
Ala Jaza,NA,NA,NA
Ilegales,NA,Foreign,1993
Arthur Conley,1/4/1946,United States,1959
Wilson Pickett,3/18/1941,United States,1955
The Capitols,NA,United States,1962
Etta James,1/25/1938,NA,1954
The Staple Singers,NA,United States,1948
The Emotions,NA,United States,1962
Harold Melvin,NA,United States,1954
Martha Reeves & The Vandellas,NA,NA,NA
The Spinners,NA,United States,1954
Otis Redding,9/9/1941,NA,1958
Smokey Robinson & The Miracles,NA,NA,NA
Edwin Starr,1/21/1942,NA,1951
The O'Jays,NA,United States,1958
Curtis Mayfield,6/3/1942,NA,1956
Johnnie Taylor,5/5/1934,NA,1953
Frank Wilson,12/5/1940,NA,1965
The Velvelettes,NA,United States,1961
Barrett Strong,2/5/1941,NA,1959
The Main Ingredient,NA,United States,1964
Leon Russell,4/2/1942,NA,1956
Diplomats of Solid Sound,NA,NA,NA
Tammi Terrell,4/29/1945,NA,1960
Millie Jackson,7/15/1944,NA,1964
Maxine Brown,8/18/1939,NA,1960
The Tymes,NA,United States,1956
Jr. Walker & The All Stars,NA,NA,NA
The Underdogs,NA,NA,NA
Four Tops,NA,United States,1953
Los Tres Reyes,NA,NA,NA
Los Tecolines,NA,NA,NA
Nat King Cole,3/17/1919,NA,1934
Los Tres Caballeros,NA,NA,NA
Tito Rodriguez,NA,NA,1936
Chavela Vargas,4/17/1919,NA,1961
Felipe Pirela,NA,NA,NA
Los Tres Ases,NA,NA,NA
Los Galantes,NA,NA,NA
Los Santos,NA,NA,NA
Pedro Vargas,4/29/1906,NA,1928
Agustín Lara,NA,NA,NA
Victor Jara,9/28/1932,Foreign,1959
Paquita La Del Barrio,4/2/1947,Foreign,1970
Bienvenido Granda,NA,NA,NA
Luis Arcaraz Y Su Orquesta,NA,NA,NA
Hermanos Martinez Gil,NA,NA,NA
Celio Gonzalez,NA,NA,NA
Pepe Jara,NA,NA,NA
Carmen Delia Dipini,NA,NA,NA
Daniel Santos,6/6/1916,NA,1930
Los Fantasmas,NA,NA,NA
Trio Delfines,NA,Foreign,1944
Alvaro Carrillo,12/2/1921,NA,1940
Cheo Feliciano,7/3/1935,NA,1957
Fernando Fernández,NA,NA,NA
Toña La Negra,11/2/1912,NA,1932
Los Jaibos,NA,Foreign,1944
Rolando Laserie,NA,NA,NA
Nelson Ned,NA,NA,NA
Vicentico Valdés,7/24/1964,NA,1978
Johnny Albino,NA,NA,NA
Antonio Badu,NA,NA,NA
Elvira Rios,NA,NA,NA
Hermanas Aguila,NA,NA,NA
Pete Rodriguez,4/16/1932,NA,NA
Orchestra Harlow,3/20/1939,Foreign,1960
Johnny Colon,NA,NA,NA
Joe Cuba,NA,NA,1950
Ricardo Ray,2/15/1945,NA,1965
Eddie Palmieri,12/15/1936,NA,1955
Johnny Colón and His Orchestra,NA,NA,NA
Johnny Pacheco,3/25/1935,NA,1955
Bobby Valentin,6/9/1941,Foreign,NA
Fania All Stars,NA,Foreign,1968
Lebrón Brothers,NA,NA,NA
La Lupe,12/23/1936,NA,1958
Bobby Marin,NA,NA,1951
The Latin Blues Band Featuring Luis Aviles,NA,NA,NA
Joey Pastrana,NA,NA,NA
George Guzman,NA,NA,NA
The Latinaires,10/17/1940,United States,1955
Ismael Rivera,10/5/1931,NA,1948
Louie Ramirez,NA,NA,NA
Spanglish Fly,NA,NA,NA
Dickey Betts,12/12/1943,NA,1960
Steve Forbert,12/13/1954,NA,1978
John Prine,10/10/1946,NA,1969
Nils Lofgren,6/21/1951,NA,1965
John Fogerty,5/28/1945,United States,1959
John Mellencamp,10/7/1951,NA,1976
Tom Waits,12/7/1949,NA,1971
Warren Zevon,1/24/1947,NA,1965
Southside Johnny And The Asbury Jukes,NA,United States,1975
Pierce The Veil,NA,United States,2006
Airbourne,NA,NA,NA
Stereophonics,NA,Foreign,1992
Punchline,NA,NA,NA
The Hives,NA,Foreign,1993
Pretty Maids,NA,Foreign,1981
Atreyu,NA,United States,1998
We The Kings,NA,United States,2005
Cave In,NA,United States,1995
Fightstar,NA,Foreign,2003
Hey Monday,NA,United States,2008
Deepfield,NA,United States,2005
New Found Glory,NA,United States,1997
Brother Cane,NA,United States,1990
The Subways,NA,Foreign,2000
Patent Pending,NA,United States,2001
Alkaline Trio,NA,United States,1996
Sammy Hagar,10/13/1947,NA,1967
KMFDM,NA,Foreign,1984
